timestamp,gpu_utilization_percent,vram_used_mb,vram_total_mb,nvdec_utilization_percent,nvenc_utilization_percent,gpu_temperature_c,cpu_process_percent,rss_mb
1788007596873,0,7937,16376,0,0,38,0.000,130.031
1788007597550,0,7937,16376,0,0,38,79.000,130.031
1788007598193,0,7937,16376,0,0,38,144.000,130.031
1788007598840,0,7937,16376,0,0,38,104.000,130.031
1788007599500,0,7937,16376,0,0,38,91.000,130.031
1788007600143,0,7937,16376,0,0,38,112.000,130.031
1788007600794,0,7954,16376,0,0,38,101.000,225.320
1788007601449,0,8161,16376,0,0,39,93.600,534.348
1788007602103,2,8186,16376,0,0,39,107.000,606.766
1788007602778,0,8218,16376,0,0,39,100.000,847.695
1788007603440,1,8598,16376,4,0,39,98.800,1126.621
1788007604132,0,8748,16376,0,0,39,111.000,1230.695
1788007604786,0,8776,16376,0,0,39,109.000,1235.711
1788007605448,0,8800,16376,0,0,39,106.000,1235.777
